URL;URL_LENGTH;NUMBER_SPECIAL_CHARACTERS;CHARSET;SERVER;CONTENT_LENGTH;WHOIS_COUNTRY;WHOIS_STATEPRO;WHOIS_REGDATE;WHOIS_UPDATED_DATE;TCP_CONVERSATION_EXCHANGE;DIST_REMOTE_TCP_PORT;REMOTE_IPS;APP_BYTES;SOURCE_APP_PACKETS;REMOTE_APP_PACKETS;SOURCE_APP_BYTES;REMOTE_APP_BYTES;APP_PACKETS;DNS_QUERY_TIMES;Type
B0_1412;23;7;ISO-8859-1;Oracle-iPlanet-Web-Server/7.0;3257;None;None;13/10/2000 0:00;27/04/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_2217;23;6;ISO-8859-1;None;6748;US;Arizona;31/12/1999 0:00;9/04/2017 0:00;7;4;5;630;7;4;244;630;7;0;0
B0_2240;23;7;UTF-8;nginx;NA;None;None;None;None;24;5;8;1740;24;11;696;1740;24;0;0
B0_23;23;6;None;None;NA;US;TX;30/07/1996 0:00;4/07/2016 0:00;19;7;6;2404;23;20;6179;2684;23;4;0
B0_241;23;6;UTF-8;None;NA;GB;None;9/05/2008 0:00;27/11/2015 0:00;19;14;6;1980;23;25;5737;2276;23;4;0
B0_285;23;6;UTF-8;None;NA;US;WI;23/04/1999 0:00;25/07/2016 0:00;4;0;1;519;8;8;1138;823;8;4;0
B0_465;23;6;UTF-8;cloudflare-nginx;NA;US;Oregon;4/02/1997 0:00;8/11/2014 0:00;10;0;5;1186;14;15;1900;1476;14;4;0
B0_599;23;6;ISO-8859-1;nginx/1.12.0;NA;IN;Andhra Pradesh;13/02/2003 0:00;14/02/2017 0:00;43;4;4;5738;47;50;56926;6046;47;4;0
B0_614;23;6;iso-8859-1;Apache;240;US;CA;17/05/2008 0:00;18/05/2016 0:00;8;0;2;723;10;11;1837;871;10;2;0
B0_622;23;6;ISO-8859-1;Apache;3985;CA;AB;30/05/2002 0:00;31/05/2016 0:00;40;17;16;3285;46;45;12003;3729;46;6;0
B0_790;23;6;us-ascii;Microsoft-HTTPAPI/2.0;324;None;None;20/10/2005 0:00;30/09/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
M0_175;24;8;ISO-8859-1;nginx/1.6.2;6173;None;None;None;None;2;0;1;132;2;5;318;132;2;0;1
M0_89;24;9;iso-8859-1;Apache;319;IN;Tamil Nadu;None;None;7;0;2;720;9;10;1269;868;9;2;1
B0_108;24;6;utf-8;openresty;NA;LU;None;7/01/2006 0:00;14/12/2016 0:00;84;54;5;10490;96;106;106925;11482;96;12;0
B0_126;24;6;ISO-8859-1;None;34;US;VA;5/03/1996 5:00;27/05/2016 14:46;65;3;5;6286;69;75;90508;6596;69;4;0
B0_171;24;7;utf-8;nginx;NA;US;NY;23/03/1995 0:00;3/03/2017 0:00;14;6;6;1907;18;18;5601;2171;18;4;0
B0_2301;24;6;utf-8;Heptu web server;1778;None;None;10/01/1998 0:00;11/11/2012 0:00;7;7;3;618;7;9;562;618;7;0;0
B0_2313;24;6;utf-8;Pepyaka/1.11.3;NA;None;None;27/04/2016 0:00;29/04/2017 0:00;6;3;2;528;6;4;244;528;6;0;0
B0_2315;24;6;us-ascii;Microsoft-HTTPAPI/2.0;324;CA;quebec;7/04/2011 0:00;8/04/2017 0:00;6;4;4;564;6;8;508;564;6;0;0
B0_282;24;8;iso-8859-1;Apache/2.2.22;224;US;MA;26/02/2009 0:00;6/01/2017 0:00;19;2;4;2131;23;23;9471;2441;23;4;0
B0_321;24;6;utf-8;nginx/1.8.0;NA;CA;ON;3/07/2002 0:00;2/07/2016 0:00;12;2;7;984;16;16;1839;1292;16;4;0
B0_326;24;7;iso-8859-1;Apache;318;None;None;None;None;21;1;8;1606;25;13;1276;1914;25;4;0
B0_483;24;7;utf-8;nginx/1.10.1 + Phusion Passenger 5.0.30;NA;None;None;21/02/1995 0:00;19/02/2017 0:00;16;6;8;2279;22;22;2562;2729;22;6;0
B0_543;24;6;iso-8859-1;Apache/2;345;US;New Mexico;4/07/2007 0:00;5/07/2016 0:00;19;5;9;1390;21;25;3890;1540;21;2;0
B0_656;24;6;UTF-8;Apache;756;PA;PANAMA;2/07/1998 0:00;6/02/2017 0:00;23;3;15;2485;27;28;9332;2799;27;4;0
B0_1163;25;6;utf-8;Apache/2.2.29 (Amazon);NA;CA;British Columbia;10/03/2005 0:00;4/01/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1308;25;7;utf-8;nginx;NA;US;NY;23/03/1995 0:00;3/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1347;25;6;UTF-8;nginx;14839;US;NY;15/12/2004 0:00;13/11/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_2127;25;6;us-ascii;Microsoft-IIS/7.5;324;US;Massachusetts;25/02/2008 0:00;26/02/2017 0:00;5;2;4;474;5;4;250;474;5;0;0
B0_2224;25;6;UTF-8;LiteSpeed;NA;None;None;27/01/2005 0:00;15/11/2013 0:00;6;5;2;564;6;7;442;564;6;0;0
B0_468;25;6;UTF-8;Apache;NA;US;California;14/09/2006 0:00;9/09/2016 0:00;12;0;5;1327;16;17;14050;1615;16;4;0
B0_568;25;6;UTF-8;nginx;658;None;None;None;None;11;3;4;1232;15;16;9806;1530;15;4;0
B0_577;25;6;UTF-8;None;NA;TH;bangkok;30/04/2010 14:12;12/03/2017 1:47;18;7;9;1586;22;17;1735;1898;22;4;0
B0_704;25;6;ISO-8859-1;Apache;NA;US;CA;22/04/1997 0:00;22/02/2017 0:00;36;17;9;4737;42;35;10343;5173;42;6;0
B0_781;25;6;UTF-8;Apache;195;GB;WEST MIDLANDS;16/07/2016 0:00;22/12/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_786;25;6;us-ascii;Microsoft-HTTPAPI/2.0;324;US;CO;27/11/2016 19:09;1/02/2017 0:01;0;0;0;0;0;0;0;0;0;0;0
B0_886;25;6;ISO-8859-1;Apache;NA;US;California;30/10/2009 0:00;27/10/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
M0_111;26;8;UTF-8;nginx;NA;None;None;12/03/2009 21:00;None;12;0;2;1052;14;14;11935;1204;14;2;1
M0_15;26;8;utf-8;nginx;NA;None;None;9/03/2000 17:50;None;9;1;2;878;11;12;2242;1018;11;2;1
M0_171;26;7;ISO-8859-1;nginx/1.12.0;4166;US;TEXAS;30/05/2008 0:00;30/05/2016 0:00;24;0;3;2508;30;30;21098;2992;30;6;1
M0_68;26;7;ISO-8859-1;Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4;962;GB;WC1N;25/09/2000 0:00;18/07/2016 0:00;9;0;4;842;11;12;2101;994;11;2;1
M0_70;26;7;ISO-8859-1;Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4;962;GB;WC1N;9/04/2002 0:00;10/04/2017 0:00;7;0;2;722;11;10;2000;1016;11;4;1
M0_72;26;7;ISO-8859-1;Apache/2.4.23 (Unix) OpenSSL/1.0.1e-fips mod_bwlimited/1.4;962;GB;WC1N;9/04/2002 0:00;10/04/2017 0:00;7;0;2;722;11;9;1913;1036;11;4;1
B0_1125;26;6;utf-8;nginx;2688;US;Kentucky;11/01/1997 0:00;30/04/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1205;26;7;UTF-8;cloudflare-nginx;NA;US;MD;11/06/2000 0:00;3/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1321;26;6;UTF-8;nginx;NA;CA;ON;13/02/2002 19:55;23/02/2017 17:46;0;0;0;0;0;0;0;0;0;0;0
B0_1374;26;6;iso-8859-1;Apache;199;PA;PANAMA;19/12/2007 0:00;21/11/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_159;26;6;UTF-8;Apache/2.4.25 (cPanel) OpenSSL/1.0.1e-fips mod_bwlimited/1.4;3548;None;None;6/11/1997 0:00;6/11/2016 0:00;13;0;1;1378;19;19;6226;1856;19;6;0
B0_173;26;7;utf-8;nginx;NA;US;NY;23/03/1995 0:00;3/03/2017 0:00;26;19;5;2727;30;19;5765;2991;30;4;0
B0_179;26;6;None;tsa_c;0;US;CA;21/01/2000 0:00;8/11/2016 0:00;43;39;3;6325;53;50;32025;7063;53;10;0
B0_2027;26;6;ISO-8859-1;nginx/1.12.0;5426;US;NEW YORK;27/04/2009 0:00;27/02/2017 0:00;9;7;4;702;9;10;696;702;9;0;0
B0_2152;26;7;utf-8;Apache/2.2.0 (Fedora);NA;None;None;11/10/2000 0:00;12/12/2016 0:00;11;9;7;882;11;9;562;882;11;0;0
B0_2293;26;6;UTF-8;None;NA;CA;British Columbia;4/08/1998 0:00;10/04/2017 0:00;4;3;2;396;4;6;482;396;4;0;0
B0_256;26;6;iso-8859-1;Apache/2;345;US;FL;31/05/2000 0:00;2/04/2014 0:00;43;0;2;3252;47;47;60076;3564;47;4;0
B0_258;26;7;utf-8;nginx;NA;US;NY;23/03/1995 0:00;3/03/2017 0:00;46;12;11;3783;50;18;5605;4047;50;4;0
B0_297;26;7;utf-8;nginx;NA;US;NY;23/03/1995 0:00;3/03/2017 0:00;21;8;9;2373;25;27;6199;2637;25;4;0
B0_660;26;6;utf-8;cloudflare-nginx;NA;US;Washington;23/10/1999 0:00;13/08/2016 0:00;7;0;2;984;11;12;1650;1300;11;4;0
B0_793;26;6;ISO-8859-1;nginx/1.12.0;NA;US;Colorado;23/06/2010 0:00;23/04/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_859;26;6;us-ascii;None;324;US;TX;9/03/2000 0:00;13/02/2014 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_883;26;6;UTF-8;cloudflare-nginx;NA;US;PA;13/04/1994 0:00;13/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_928;26;6;UTF-8;nginx;NA;US;LA;9/06/2010 0:00;21/06/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_982;26;6;utf-8;nginx/1.12.0;NA;US;Arizona;29/04/2009 0:00;8/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
M0_67;27;7;UTF-8;Apache/2.2.22 (Debian);8756;GB;WC1N;16/06/2000 0:00;16/02/2016 0:00;38;0;3;4207;44;45;39662;4679;44;6;1
M0_75;27;7;UTF-8;Apache;193;US;PA;19/01/2015 0:00;3/03/2017 0:00;9;0;1;1838;11;13;4524;1992;11;2;1
B0_1209;27;8;UTF-8;nginx;NA;US;WA;11/11/2015 0:00;13/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1353;27;6;us-ascii;Microsoft-HTTPAPI/2.0;324;US;CO;22/03/2017 0:00;23/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_2085;27;6;utf-8;openresty/1.11.2.1;NA;US;TEXAS;3/11/2009 0:00;4/03/2017 0:00;3;3;1;366;3;5;306;366;3;0;0
B0_362;27;6;UTF-8;Apache/2.2.15 (CentOS);NA;AU;Queensland;19/07/2010 20:03;20/09/2016 13:11;40;13;14;3781;46;44;34101;4253;46;6;0
B0_453;27;6;UTF-8;Apache/2.4.25;7967;None;None;28/04/1997 0:00;24/04/2017 0:00;6;0;4;631;8;11;812;787;8;2;0
B0_966;27;7;ISO-8859-1;Apache;11506;US;FL;4/03/1996 0:00;7/01/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
M0_21;28;9;UTF-8;Apache/2.2.15 (CentOS);NA;RU;MOSCOW;24/10/2007 0:00;22/10/2016 0:00;5;0;1;592;7;9;1062;732;7;2;1
M0_94;28;7;us-ascii;Microsoft-HTTPAPI/2.0;324;US;FL;21/10/2004 0:00;14/10/2014 0:00;5;0;2;556;9;9;1154;860;9;4;1
B0_1020;28;8;utf-8;nginx;39036;[u'GB', u'UK'];UK;2002-03-20T23:59:59.0Z;2017-03-07T22:02:38.0Z;0;0;0;0;0;0;0;0;0;0;0
B0_1038;28;6;ISO-8859-1;None;NA;US;CA;29/03/1997 0:00;29/11/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1357;28;7;iso-8859-1;Apache;NA;FR;None;10/06/2008 0:00;9/06/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1413;28;7;ISO-8859-1;cloudflare-nginx;NA;NL;P;30/11/1999 0:00;6/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_2061;28;7;us-ascii;None;NA;US;NH;30/08/2004 0:00;18/08/2016 0:00;6;4;3;552;6;8;612;552;6;0;0
B0_2182;28;7;ISO-8859-1;cloudflare-nginx;NA;NL;P;30/11/1999 0:00;6/03/2017 0:00;8;4;6;696;8;10;634;696;8;0;0
B0_2228;28;6;us-ascii;Microsoft-IIS/7.5;324;US;Pennsylvania;11/11/1996 0:00;27/04/2015 0:00;5;3;3;474;5;6;364;474;5;0;0
B0_229;28;7;utf-8;Apache;8578;CA;ON;2/10/1995 4:00;30/09/2016 9:12;21;7;5;2830;29;25;6137;3400;29;8;0
B0_2309;28;6;UTF-8;Apache;10576;IN;UTTAR PRADESH;28/06/2011 0:00;2/03/2017 0:00;14;9;2;2094;14;12;8019;2094;14;0;0
B0_310;28;7;us-ascii;Microsoft-IIS/7.5;324;None;None;16/08/2016 0:00;26/03/2017 0:00;17;1;7;1848;23;24;2167;2322;23;6;0
B0_332;28;7;UTF-8;Apache/2.4.25 (Amazon) PHP/7.0.14;12846;US;NC;9/05/2000 17:31;11/10/2016 0:20;17;12;3;2314;23;27;21419;2740;23;6;0
B0_438;28;7;UTF-8;GSE;6666;US;CA;31/07/2000 0:00;29/06/2016 0:00;66;5;11;6311;70;64;63634;6633;70;4;0
B0_563;28;6;iso-8859-1;Apache/2.4.23 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4;445;US;FL;14/05/1999 0:00;2/04/2014 0:00;28;5;8;2324;30;33;24662;2482;30;2;0
B0_638;28;8;UTF-8;Apache;NA;US;Arizona;24/04/2009 0:00;18/03/2017 0:00;6;0;3;632;8;8;593;776;8;2;0
B0_695;28;7;us-ascii;Microsoft-HTTPAPI/2.0;324;None;None;None;None;33;26;4;3590;39;48;30057;4064;39;6;0
B0_835;28;6;utf-8;Pepyaka/1.11.3;NA;US;NY;6/08/1998 0:00;7/11/2014 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_96;28;6;utf-8;None;NA;US;CA;22/02/1996 0:00;16/01/2015 0:00;26;19;3;2632;30;36;27404;2916;30;4;0
B0_981;28;6;UTF-8;nginx;18438;US;California;15/06/2007 0:00;12/05/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
M0_106;29;7;ISO-8859-1;Apache;7314;US;MD;21/09/2009 0:00;9/08/2016 0:00;34;0;2;2934;40;40;34995;3416;40;6;1
M0_74;29;7;us-ascii;Microsoft-HTTPAPI/2.0;324;UG;kireka;9/04/2002 0:00;18/04/2017 0:00;5;0;2;593;7;8;1128;751;7;2;1
B0_1044;29;6;ISO-8859-1;Apache;NA;US;CA;22/04/1997 0:00;22/02/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1051;29;6;None;tsa_c;0;US;CA;21/01/2000 0:00;8/11/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1095;29;8;ISO-8859-1;Apache;9136;US;CA;20/01/1995 0:00;22/11/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1096;29;6;UTF-8;Apache;5019;US;IL;28/03/2006 0:00;24/02/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1117;29;7;utf-8;nginx;NA;US;NY;23/03/1995 0:00;3/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1154;29;6;iso-8859-1;Apache/2.4.25 (Amazon) OpenSSL/1.0.1k-fips;210;US;Missouri;28/09/2007 16:06;28/03/2017 18:24;0;0;0;0;0;0;0;0;0;0;0
B0_1287;29;6;UTF-8;Apache/2.2.22 (Debian);8654;JP;Osaka;4/02/2017 0:00;4/02/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_1408;29;7;iso-8859-1;Apache/2.2.22 (Ubuntu);238;CA;QC;7/03/1996 0:00;9/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_170;29;6;ISO-8859-1;Apache;26856;None;None;4/04/2003 0:00;5/04/2017 0:00;26;6;5;2519;30;30;22379;2851;30;4;0
B0_2024;29;6;us-ascii;Microsoft-HTTPAPI/2.0;324;US;Michigan;26/08/2015 0:00;26/08/2016 0:00;12;8;6;900;12;9;568;900;12;0;0
B0_2089;29;7;UTF-8;Apache/2.2.22;NA;CA;AB;22/07/2004 0:00;23/06/2016 0:00;709;708;3;2362906;709;837;83056;2362906;709;0;0
B0_2123;29;6;UTF-8;Apache;10210;US;CA;30/11/2004 0:00;7/03/2017 0:00;5;4;2;486;5;7;542;486;5;0;0
B0_2128;29;6;ISO-8859-1;Apache;13684;US;Maryland;5/03/2008 0:00;14/04/2016 0:00;15;8;7;1134;15;9;605;1134;15;0;0
B0_2166;29;6;us-ascii;None;324;CA;Ontario;8/05/2003 0:00;9/05/2016 0:00;3;3;1;366;3;5;306;366;3;0;0
B0_2242;29;6;iso-8859-1;nginx/1.12.0;770;US;South Carolina;2/11/2010 21:52;20/10/2015 23:34;5;3;3;486;5;7;436;486;5;0;0
B0_2266;29;8;UTF-8;Apache/2.4.25;6813;US;Texas;23/05/2006 0:00;13/07/2016 0:00;17;9;10;1249;17;15;1062;1249;17;0;0
B0_259;29;6;us-ascii;Microsoft-HTTPAPI/2.0;324;None;None;2/07/1998 0:00;5/07/2016 0:00;34;9;6;2861;38;26;15260;3229;38;4;0
B0_44;29;6;ISO-8859-1;None;34;US;California;2/12/1998 0:00;2/12/2016 0:00;10;2;9;612;12;14;918;772;12;2;0
B0_448;29;7;ISO-8859-1;Apache;NA;US;CA;22/04/1997 0:00;22/02/2017 0:00;32;21;8;4561;38;36;10429;4997;38;6;0
B0_499;29;8;UTF-8;GSE;20404;US;CA;31/07/2000 0:00;29/06/2016 0:00;33;6;5;3533;37;35;46688;3859;37;4;0
B0_626;29;8;UTF-8;Tengine;NA;CN;Zhejiang;15/04/1999 0:00;20/06/2012 0:00;28;0;5;3183;36;33;24455;3777;36;8;0
B0_642;29;6;UTF-8;Apache/2.4.18 (Unix) OpenSSL/0.9.8e-fips-rhel5 mod_bwlimited/1.4;7159;US;Arizona;30/05/2003 0:00;10/07/2015 0:00;21;6;11;1515;23;18;1334;1675;23;2;0
B0_726;29;6;utf-8;Apache/2.2.15 (CentOS);NA;US;New Mexico;10/01/2002 0:57;26/02/2014 23:35;24;1;3;2195;29;30;55576;2515;29;4;0
B0_887;29;6;iso-8859-1;Apache;388;US;New York;17/03/2006 0:00;14/08/2013 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_894;29;6;ISO-8859-1;Apache/2;199;None;None;1/03/1999 0:00;7/03/2013 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_920;29;8;us-ascii;Microsoft-HTTPAPI/2.0;324;AU;QLD;1/07/2015 0:00;4/03/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_942;29;6;ISO-8859-1;nginx/1.12.0;NA;CA;ON;22/01/2006 0:00;22/01/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_978;29;6;utf-8;None;NA;US;CA;22/02/1996 0:00;16/01/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
M0_112;30;8;iso-8859-1;Apache;177;None;None;None;None;7;0;2;666;9;9;1094;826;9;2;1
B0_1052;30;6;utf-8;Apache/2.4.10 (Debian);NA;SE;None;6/03/1996 5:00;28/10/2013 10:54;0;0;0;0;0;0;0;0;0;0;0
B0_1388;30;6;iso-8859-1;Apache/2.4.6 (CentOS) PHP/5.6.8;199;US;MA;8/02/2013 0:00;15/03/2017 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_160;30;7;utf-8;nginx;NA;US;NY;23/03/1995 0:00;3/03/2017 0:00;14;9;3;1918;18;17;5546;2182;18;4;0
B0_169;30;6;ISO-8859-1;None;NA;US;CA;29/03/1997 0:00;29/11/2016 0:00;62;52;12;8974;76;69;30726;10006;76;14;0
B0_209;30;6;ISO-8859-1;Apache;NA;US;CA;22/04/1997 0:00;22/02/2017 0:00;22;17;2;3914;28;27;9833;4350;28;6;0
B0_2097;30;6;ISO-8859-1;Sun-ONE-Web-Server/6.1;NA;None;None;15/04/2003 0:00;19/02/2016 0:00;18;17;5;1188;18;19;1451;1188;18;0;0
B0_2206;30;6;None;Apache/2.4.18 (Unix) OpenSSL/1.0.2e Communique/4.1.10;NA;US;WI;24/10/1996 0:00;19/10/2016 0:00;6;4;4;552;6;9;564;552;6;0;0
B0_2282;30;6;UTF-8;Apache;14703;US;Texas;4/08/1998 0:00;4/09/2013 0:00;2;2;1;276;2;4;250;276;2;0;0
B0_330;30;6;UTF-8;nginx;8751;US;FL;30/04/2016 0:00;4/10/2016 0:00;15;2;6;1528;19;17;5586;1860;19;4;0
B0_348;30;6;us-ascii;Microsoft-HTTPAPI/2.0;324;US;NJ;30/12/1999 0:00;8/01/2016 0:00;90;6;14;8646;92;100;95659;8808;92;2;0
B0_369;30;7;ISO-8859-1;Apache;NA;US;CA;22/04/1997 0:00;22/02/2017 0:00;31;26;2;4412;37;37;27412;4848;37;6;0
B0_560;30;6;utf-8;None;NA;US;CA;22/02/1996 0:00;16/01/2015 0:00;31;23;3;3605;39;41;34388;4183;39;8;0
B0_639;30;6;ISO-8859-1;None;NA;US;CA;29/03/1997 0:00;29/11/2016 0:00;76;47;12;9007;88;44;23985;9891;88;12;0
B0_711;30;7;utf-8;AmazonS3;350;US;Arizona;13/07/2001 0:00;26/04/2015 0:00;23;1;10;1902;27;26;2764;2194;27;4;0
B0_73;30;7;ISO-8859-1;Apache/1.3.37 (Unix) mod_perl/1.29 mod_ssl/2.8.28 OpenSSL/0.9.7e-p1;NA;US;GA;29/05/1996 0:00;21/03/2017 0:00;48;3;6;3418;52;48;57377;3706;52;4;0
B0_824;30;8;UTF-8;cloudflare-nginx;NA;US;CA;25/02/2004 0:00;16/01/2016 0:00;0;0;0;0;0;0;0;0;0;0;0
B0_891;30;6;utf-8;None;NA;US;CA;22/02/1996 0:00;16/01/2015 0:00;0;0;0;0;0;0;0;0;0;0;0
